num_rays,pler_db,mse,mean_error,max_error,computation_time,time_per_ray
100,22.658594307956797,0.0019404757,0.033328597,0.124542,25.82464027404785,0.2582464027404785
124,22.878043943087306,0.0020783562,0.03363831,0.1926623,23.73248863220215,0.19139103735646895
155,23.922782967860776,0.0018806466,0.032930467,0.12467909,23.389991998672485,0.15090317418498378
193,21.282028163564178,0.0023835823,0.03432936,0.25452024,26.27836036682129,0.1361573076001103
241,23.132478801431425,0.0018973568,0.032904353,0.12145805,22.324394941329956,0.09263234415489609
301,19.77799493047536,0.003650737,0.036513552,0.59208,23.05348825454712,0.0765896619752396
376,22.746211613530352,0.0022189033,0.034049384,0.23092335,21.70052695274353,0.057714167427509386
468,21.95922993341002,0.0025657224,0.03506223,0.25730503,21.81498622894287,0.04661321843791212
584,21.4575189616021,0.002877905,0.03481643,0.4856997,21.468982934951782,0.03676195708039689
729,24.941983882136974,0.002228508,0.0338419,0.2767344,21.655408143997192,0.02970563531412509
909,24.94064273129732,0.002330343,0.03417844,0.29614317,21.4376003742218,0.023583718783522334
1134,22.91874490406352,0.0023190607,0.034052435,0.26859474,21.721585273742676,0.019154837102065853
1414,21.91530520352891,0.0028287396,0.034697786,0.5733614,21.64374017715454,0.015306746942824993
1763,22.359155188183784,0.0025626032,0.034473855,0.5733541,21.910832166671753,0.012428152108151874
2199,25.29885016104391,0.0023679112,0.034188017,0.37332898,21.874095916748047,0.009947292367779921
2742,24.484403171574918,0.0026353737,0.034785997,0.5926696,22.206562995910645,0.008098673594424014
3419,24.55900145806925,0.0026010869,0.03461056,0.5818247,21.801886081695557,0.006376685019507329
4264,24.623798080729276,0.0025453328,0.034487307,0.5774024,22.0921573638916,0.005181087561888275
5318,24.731448697990622,0.0024621517,0.034318797,0.5773227,21.741669178009033,0.0040883168819121915
6632,25.04834717788804,0.0025064836,0.03438458,0.5942336,21.916070222854614,0.0033045944244352553
8270,24.73972293451693,0.0025391735,0.034562718,0.5992395,21.670339107513428,0.002620355393895215
10313,24.80518967861075,0.002501954,0.03442279,0.5940055,21.948530673980713,0.002128239181031777
12861,24.781595378643246,0.0025248118,0.034512963,0.5993048,22.879700183868408,0.0017789985369620097
16038,24.860673985858092,0.002422973,0.034260094,0.5920004,21.998571157455444,0.0013716530214151043
20000,24.796392847999677,0.002481644,0.0344236,0.6005635,21.853376865386963,0.0010926688432693482
